crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
04/07/2016,13:26:00,BRONX,10467,NA,NA,NA,CRUGER AVENUE,MACE AVENUE,NA,0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,3442295,4 dr sedan,4 dr sedan,NA,NA,NA
05/26/2020,00:01:00,BROOKLYN,11212,40.66435,-73.92906,"(40.66435, -73.92906)",EAST NEW YORK AVENUE,EAST 93 STREET,NA,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,NA,NA,NA,4316891,Sedan,NA,NA,NA,NA
06/14/2016,12:40:00,NA,NA,40.72551,-74.004036,"(40.72551, -74.004036)",SPRING STREET,AVENUE OF THE AMERICAS,NA,0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,3465475,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,NA,NA,NA
11/27/2014,13:07:00,NA,NA,40.6887701,-73.999062,"(40.6887701, -73.999062)",NA,NA,NA,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,NA,NA,NA,3126960,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,NA,NA,NA
11/13/2014,17:20:00,MANHATTAN,10001,40.7570213,-74.004927,"(40.7570213, -74.004927)",JOE DIMAGGIO HIGHWAY,WEST 34 STREET,NA,1,0,1,0,0,0,0,0,Unspecified,NA,NA,NA,NA,2822801,PASSENGER VEHICLE,NA,NA,NA,NA
02/22/2023,17:21:00,STATEN ISLAND,10310,40.636955,-74.11755,"(40.636955, -74.11755)",BROADWAY,HENDERSON AVENUE,NA,0,0,0,0,0,0,0,0,Unspecified,NA,NA,NA,NA,4608277,Sedan,NA,NA,NA,NA
05/25/2014,12:03:00,QUEENS,11421,40.6847527,-73.860765,"(40.6847527, -73.860765)",ATLANTIC AVENUE,ROCKAWAY BOULEVARD,NA,2,0,0,0,0,0,2,0,Unspecified,Unspecified,NA,NA,NA,341027,PASSENGER VEHICLE,PASSENGER VEHICLE,NA,NA,NA
01/24/2014,16:10:00,STATEN ISLAND,10304,40.600135,-74.1130228,"(40.600135, -74.1130228)",TODT HILL ROAD,WHITWELL PLACE,NA,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,NA,NA,NA,300818,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,NA,NA,NA
10/27/2016,08:22:00,BROOKLYN,11226,40.647114,-73.96168,"(40.647114, -73.96168)",ALBEMARLE ROAD,EAST 19 STREET,NA,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,NA,NA,NA,3550202,Sedan,Sedan,NA,NA,NA
05/31/2014,16:00:00,NA,NA,40.7426584,-73.8462052,"(40.7426584, -73.8462052)",NA,NA,NA,0,0,0,0,0,0,0,0,Outside Car Distraction,Fatigued/Drowsy,NA,NA,NA,3066274,SPORT UTILITY / STATION WAGON,TAXI,NA,NA,NA
01/12/2017,16:45:00,STATEN ISLAND,10305,40.593502,-74.08687,"(40.593502, -74.08687)",HYLAN BOULEVARD,BATH AVENUE,NA,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,Unspecified,Unspecified,NA,3597586,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,NA
08/02/2021,23:13:00,BROOKLYN,11235,40.583687,-73.944695,"(40.583687, -73.944695)",NA,NA,2255      EMMONS AVENUE,0,0,0,0,0,0,0,0,Unspecified,NA,NA,NA,NA,4443239,Sedan,NA,NA,NA,NA
06/28/2014,09:10:00,NA,NA,NA,NA,NA,CANAL STREET,BOWERY,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Lost Consciousness,NA,NA,NA,359511,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,NA,NA,NA
08/26/2012,21:00:00,MANHATTAN,10012,40.7268785,-74.0031208,"(40.7268785, -74.0031208)",PRINCE STREET,MACDOUGAL STREET,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,NA,NA,NA,548,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,NA,NA,NA
07/01/2012,14:40:00,STATEN ISLAND,10303,40.6368184,-74.1579392,"(40.6368184, -74.1579392)",UNION AVENUE,RICHMOND TERRACE,NA,0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,284652,PASSENGER VEHICLE,UNKNOWN,NA,NA,NA
09/20/2016,22:31:00,QUEENS,11105,40.77125,-73.906685,"(40.77125, -73.906685)",NA,NA,22-68     41 STREET,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,NA,NA,NA,3524339,Sedan,Pick-up Truck,NA,NA,NA
05/18/2015,07:20:00,MANHATTAN,10025,40.7947356,-73.9698722,"(40.7947356, -73.9698722)",WEST 97 STREET,AMSTERDAM AVENUE,NA,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,NA,NA,NA,3222860,TAXI,SPORT UTILITY / STATION WAGON,NA,NA,NA
11/18/2015,19:30:00,BROOKLYN,11234,40.6179263,-73.931731,"(40.6179263, -73.931731)",FLATBUSH AVENUE,QUENTIN ROAD,NA,0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,3336802,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,NA,NA,NA
09/15/2022,18:54:00,BROOKLYN,11235,40.584118,-73.95079,"(40.584118, -73.95079)",NA,NA,1786      SHEEPSHEAD BAY ROAD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,4564451,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
04/11/2017,12:33:00,BRONX,10455,40.8136,-73.89785,"(40.8136, -73.89785)",NA,NA,715       BRUCKNER BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,NA,NA,NA,NA,3650585,Sedan,NA,NA,NA,NA
08/08/2014,11:00:00,NA,NA,NA,NA,NA,NA,NA,2400 FLATBUSH AVENUE(GAS STATION),0,0,0,0,0,0,0,0,Unspecified,Unspecified,NA,NA,NA,1006409,PASSENGER VEHICLE,PASSENGER VEHICLE,NA,NA,NA
05/15/2015,17:20:00,QUEENS,11432,40.7118119,-73.7878451,"(40.7118119, -73.7878451)",175 STREET,HILLSIDE AVENUE,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,3222566,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,NA,NA,NA
06/15/2018,00:00:00,NA,NA,40.583908,-73.98599,"(40.583908, -73.98599)",BELT PARKWAY,NA,NA,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,NA,NA,NA,3923178,Station Wagon/Sport Utility Vehicle,Sedan,NA,NA,NA
02/28/2016,03:30:00,BROOKLYN,11233,40.6834985,-73.935154,"(40.6834985, -73.935154)",HALSEY STREET,LEWIS AVENUE,NA,0,0,0,0,0,0,0,0,Failure to Keep Right,Unspecified,Unspecified,NA,NA,3396178,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,NA,NA
03/21/2014,15:19:00,MANHATTAN,10001,40.754584,-73.9991446,"(40.754584, -73.9991446)",WEST 34 STREET,10 AVENUE,NA,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,308763,TAXI,VAN,NA,NA,NA
09/29/2016,06:50:00,QUEENS,11106,40.76705,-73.93302,"(40.76705, -73.93302)",NA,NA,31-50     14 STREET,0,0,0,0,0,0,0,0,Unspecified,NA,NA,NA,NA,3530314,Sedan,NA,NA,NA,NA
02/05/2017,22:00:00,NA,NA,40.656082,-73.95306,"(40.656082, -73.95306)",ROGERS AVENUE,NA,NA,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,NA,NA,NA,3610437,Sedan,Station Wagon/Sport Utility Vehicle,NA,NA,NA
03/06/2018,22:30:00,QUEENS,11374,40.729015,-73.86422,"(40.729015, -73.86422)",NA,NA,63-47     BOOTH STREET,0,0,0,0,0,0,0,0,Unspecified,NA,NA,NA,NA,3857779,Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
08/31/2020,10:31:00,BROOKLYN,11214,40.60461,-73.99826,"(40.60461, -73.99826)",86 STREET,20 AVENUE,NA,1,0,1,0,0,0,0,0,Unspecified,NA,NA,NA,NA,4343400,Station Wagon/Sport Utility Vehicle,NA,NA,NA,NA
01/03/2018,07:25:00,NA,NA,40.69798,-73.72697,"(40.69798, -73.72697)",CROSS ISLAND PARKWAY,NA,NA,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,NA,NA,NA,3821258,Sedan,Sedan,NA,NA,NA
09/19/2017,12:40:00,BROOKLYN,11217,40.681854,-73.98004,"(40.681854, -73.98004)",SAINT MARKS PLACE,4 AVENUE,NA,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,NA,NA,NA,3753915,Sedan,Sedan,NA,NA,NA
